BpS_Code,BpS_Name,Model_Code,ClassA_ReferencePercent,ClassB_ReferencePercent,ClassC_ReferencePercent,ClassD_ReferencePercent,ClassE_ReferencePercent,FRI_ReplacementFire,FRI_MixedFire,FRI_LowFire,FRI_AllFire,PercentOfFires_ReplacementFire,PercentOfFires_MixedFire,PercentOfFires_LowFire,FRG_New
10080,North Pacific Oak Woodland,10080_1_2_3_7,9,5,86,NA,NA,293,37,14,10,3,26,71,I-B
10090,Northwestern Great Plains Aspen Forest and Parkland,10090_19,21,68,11,NA,NA,83,396,NA,69,83,17,NA,IV-A
10110,Rocky Mountain Aspen Forest and Woodland,10110_15,7,35,58,NA,NA,146,1774,841,116,79,7,14,IV-B
10110,Rocky Mountain Aspen Forest and Woodland,10110_16_23_24,49,24,6,18,3,59,50,NA,27,46,54,NA,I-C
10110,Rocky Mountain Aspen Forest and Woodland,10110_20_29,17,18,25,26,14,121,588,NA,100,83,17,NA,IV-A
10110,Rocky Mountain Aspen Forest and Woodland,10110_21,9,24,25,27,15,110,NA,NA,110,100,NA,NA,IV-B
10110,Rocky Mountain Aspen Forest and Woodland,10110_22,8,34,58,NA,NA,163,NA,NA,163,100,NA,NA,IV-B
10110,Rocky Mountain Aspen Forest and Woodland,10110_27,7,35,58,NA,NA,146,1719,839,116,79,7,14,IV-B
10110,Rocky Mountain Aspen Forest and Woodland,10110_28,7,35,58,NA,NA,145,1732,844,116,79,7,14,IV-B
10110,Rocky Mountain Aspen Forest and Woodland,10110_6_10_12_17_18_19,14,40,45,1,NA,68,57,NA,31,46,54,NA,I-C
10110,Rocky Mountain Aspen Forest and Woodland,10110_7,27,18,18,24,13,125,100,NA,56,45,55,NA,III-A
10110,Rocky Mountain Aspen Forest and Woodland,10110_9,48,22,13,14,3,59,50,NA,27,46,54,NA,I-C
10120,Rocky Mountain Bigtooth Maple Ravine Woodland,10120_16_27,8,18,74,NA,NA,136,82,NA,51,38,62,NA,III-A
10120,Rocky Mountain Bigtooth Maple Ravine Woodland,10120_17_18_21,8,18,74,NA,NA,135,81,NA,51,37,63,NA,III-A
10130,Western Great Plains Dry Bur Oak Forest and Woodland,10130_31_38_39_40,18,17,35,30,NA,300,44,30,17,6,38,56,I-C
10140,Central and Southern California Mixed Evergreen Woodland,10140_4_5,7,47,46,NA,NA,335,34,10,8,3,22,75,I-B
10150,California Coastal Redwood Forest,10150_2_3_4,1,7,92,NA,NA,408,NA,32,30,7,NA,93,I-C
10160,Colorado Plateau Pinyon-Juniper Woodland,10160_13_14,2,7,27,64,NA,483,340,768,158,33,46,21,III-B
10160,Colorado Plateau Pinyon-Juniper Woodland,10160_15_28,10,21,25,34,10,430,194,2245,126,29,65,6,III-B
10160,Colorado Plateau Pinyon-Juniper Woodland,10160_16_23_24_25,9,21,24,38,8,435,195,2265,127,29,65,6,III-B
10160,Colorado Plateau Pinyon-Juniper Woodland,10160_17,9,21,24,38,8,427,194,2177,126,29,65,6,III-B
10160,Colorado Plateau Pinyon-Juniper Woodland,10160_22,6,27,67,NA,NA,458,215,3310,140,31,65,4,III-B
10170,Columbia Plateau Western Juniper Woodland and Savanna,10170_6_7_8_9_12_18,2,7,18,43,30,445,272,NA,169,38,62,NA,III-B
10180,East Cascades Mesic Montane Mixed-Conifer Forest and Woodland,10180_1_7,4,36,11,11,38,253,129,276,65,26,50,24,III-A
10190,Great Basin Pinyon-Juniper Woodland,10190_13_14,2,7,27,64,NA,474,337,780,157,33,47,20,III-B
10190,Great Basin Pinyon-Juniper Woodland,10190_15,2,7,27,64,NA,475,335,765,156,33,47,20,III-B
10190,Great Basin Pinyon-Juniper Woodland,10190_4,1,5,32,25,37,640,467,814,203,32,43,25,V-A
10190,Great Basin Pinyon-Juniper Woodland,10190_6_7_9_12_16_17_18_19,9,12,22,57,NA,865,898,NA,440,51,49,NA,V-A
10200,Inter-Mountain Basins Subalpine Limber-Bristlecone Pine Woodland,10200_13,14,16,70,NA,NA,981,NA,540,348,36,NA,64,V-A
10200,Inter-Mountain Basins Subalpine Limber-Bristlecone Pine Woodland,10200_6_9_12_17,19,21,60,NA,NA,497,NA,200,143,29,NA,71,III-B
10210,Klamath-Siskiyou Lower Montane Serpentine Mixed Conifer Woodland,10210_2_3_6_7,19,1,24,53,3,229,70,11,9,5,13,82,I-B
10220,Klamath-Siskiyou Upper Montane Serpentine Mixed Conifer Woodland,10220_2_3_6_7,18,2,23,54,3,231,70,11,9,5,13,82,I-B
10230,Madrean Encinal,10230_14_15_24_25,21,37,25,17,NA,125,191,33,23,18,13,69,I-C
10240,Madrean Lower Montane Pine-Oak Forest and Woodland,10240_14_15_24,21,37,25,17,NA,125,191,33,23,19,12,69,I-C
10240,Madrean Lower Montane Pine-Oak Forest and Woodland,10240_25_27,7,7,34,52,NA,60,30,11,7,12,23,65,I-B
10240,Madrean Lower Montane Pine-Oak Forest and Woodland,10240_26,29,6,65,NA,NA,16,24,10,5,30,20,50,I-A
10250,Madrean Pinyon-Juniper Woodland,10250_14_15_24_25_26,5,57,38,NA,NA,136,209,104,46,34,22,44,III-A
10260,Madrean Upper Montane Conifer-Oak Forest and Woodland,10260_15,13,8,14,64,1,305,62,13,10,4,16,80,I-B
10270,Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland,10270_2_3_7,11,4,8,63,14,337,32,12,8,3,26,71,I-B
10270,Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland,10270_4_5_6,21,8,26,41,4,150,35,17,11,7,31,62,I-B
10280,Mediterranean California Mesic Mixed Conifer Forest and Woodland,10280_2_3,16,14,18,35,17,237,47,25,15,6,33,61,I-B
10280,Mediterranean California Mesic Mixed Conifer Forest and Woodland,10280_4_6_7_12,19,14,21,27,19,148,46,33,17,12,37,51,I-C
10290,Mediterranean California Mixed Oak Woodland,10290_2_3_4_5_6_7_12,11,4,21,54,10,285,33,11,8,3,25,72,I-B
10300,Mediterranean California Lower Montane Black Oak-Conifer Forest and Woodland,10300_2_3_4_5_6_7,12,30,58,NA,NA,176,38,15,10,6,27,67,I-B
10310,California Montane Jeffrey Pine(-Ponderosa Pine) Woodland,10310_2_3_4_5_6_12,17,6,31,1,45,165,84,11,9,6,11,83,I-B
10310,California Montane Jeffrey Pine(-Ponderosa Pine) Woodland,10310_7,6,15,17,61,1,200,118,26,19,10,16,74,I-C
10320,Mediterranean California Red Fir Forest,10320_2_3_7,13,19,22,26,20,189,58,58,25,14,43,43,I-C
10321,Mediterranean California Red Fir Forest - Cascades,10321_6,17,19,17,26,21,149,176,58,34,23,19,58,I-C
10322,Mediterranean California Red Fir Forest - Southern Sierra,10322_6,8,10,20,45,17,294,317,78,52,18,16,66,III-A
10330,Mediterranean California Subalpine Woodland,10330_12,25,22,53,NA,NA,349,78,NA,64,18,82,NA,III-A
10330,Mediterranean California Subalpine Woodland,10330_3_6_7,40,11,49,NA,NA,475,566,NA,258,54,46,NA,V-A
10340,Mediterranean California Mesic Serpentine Woodland and Chaparral,10340_4_6_7,23,23,54,NA,NA,182,108,NA,68,37,63,NA,III-A
10350,North Pacific Dry Douglas-fir(-Madrone) Forest and Woodland,10350_1_2_7,6,10,9,44,31,367,70,90,35,10,50,40,I-C
10360,North Pacific Hypermaritime Sitka Spruce Forest,10360_1_2,5,9,2,11,73,657,NA,NA,657,100,NA,NA,V-B
10370,North Pacific Maritime Dry-Mesic Douglas-fir-Western Hemlock Forest,10370_1_2_7,6,17,6,16,55,336,105,NA,80,24,76,NA,III-A
10380,North Pacific Maritime Mesic Subalpine Parkland,10380_1_7,94,6,NA,NA,NA,5183,NA,NA,5183,100,NA,NA,V-B
10390,North Pacific Maritime Mesic-Wet Douglas-fir-Western Hemlock Forest,10390_1_2_3_7,5,14,5,5,71,404,NA,NA,404,100,NA,NA,V-A
10411,North Pacific Mountain Hemlock Forest - Wet,10411_1_7,1,5,4,4,86,10910,5135,NA,3461,32,68,NA,V-B
10412,North Pacific Mountain Hemlock Forest - Xeric,10412_1_7,16,19,21,11,33,294,615,1001,166,56,27,17,III-B
10420,North Pacific Mesic Western Hemlock-Silver Fir Forest,10420_1_7,2,11,1,4,82,3606,1742,NA,1172,33,67,NA,V-B
10430,Mediterranean California Mixed Evergreen Forest,10430_5,9,28,63,NA,NA,316,66,11,9,3,14,83,I-B
10431,Mediterranean California Mixed Evergreen Forest - Interior,10431_2_3_6_7,17,17,19,27,20,165,46,23,14,9,30,61,I-B
10432,Mediterranean California Mixed Evergreen Forest - Coastal,10432_2_3,12,16,15,30,27,221,60,252,40,18,66,16,III-A
10440,Northern California Mesic Subalpine Woodland,10440_3_6_7,3,8,13,29,47,504,929,NA,327,65,35,NA,V-A
10450,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest,10450_1_7_8_9,9,11,39,32,9,184,107,32,22,12,21,67,I-C
10450,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest,10450_21,31,22,29,13,5,76,108,270,38,50,36,14,III-A
10451,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Ponderosa Pine-Douglas-fir,10451_10_19,16,14,38,27,5,148,51,39,19,13,38,49,I-C
10451,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Ponderosa Pine-Douglas-fir,10451_20,15,12,35,30,8,163,51,43,20,13,40,47,I-C
10452,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Larch,10452_10_19,9,14,24,29,24,202,69,137,37,19,54,27,III-A
10453,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Grand Fir,10453_10_19,14,17,32,17,20,223,106,NA,72,32,68,NA,III-A
10454,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Lodgepole Pine,10454_20,14,47,17,6,16,145,277,387,77,52,28,20,III-A
10460,Northern Rocky Mountain Subalpine Woodland and Parkland,10460_1_7_9,25,22,53,NA,NA,345,79,NA,64,19,81,NA,III-A
10460,Northern Rocky Mountain Subalpine Woodland and Parkland,10460_10_19_20,30,31,12,5,22,401,340,NA,184,46,54,NA,III-B
10460,Northern Rocky Mountain Subalpine Woodland and Parkland,10460_18,20,28,43,9,NA,227,385,57,41,18,11,71,III-A
10460,Northern Rocky Mountain Subalpine Woodland and Parkland,10460_21,21,35,12,5,27,515,324,NA,199,39,61,NA,III-B
10470,Northern Rocky Mountain Mesic Montane Mixed Conifer Forest,10470_10_19,12,35,6,9,38,186,139,NA,80,43,57,NA,III-A
10470,Northern Rocky Mountain Mesic Montane Mixed Conifer Forest,10470_8_9,13,41,12,11,23,201,153,351,70,35,45,20,III-A
10472,Northern Rocky Mountain Mesic Montane Mixed Conifer Forest - Cedar Groves,10472_10_19,7,41,7,4,41,374,1990,NA,315,84,16,NA,V-A
10480,Northwestern Great Plains Highland White Spruce Woodland,10480_29,9,8,22,30,31,270,119,45,29,11,24,65,I-C
10490,Rocky Mountain Foothill Limber Pine-Juniper Woodland,10490_16_22,33,27,40,NA,NA,216,NA,NA,216,100,NA,NA,V-A
10490,Rocky Mountain Foothill Limber Pine-Juniper Woodland,10490_19_20_21_23_28_29,21,31,48,NA,NA,385,NA,NA,385,100,NA,NA,V-A
10500,Rocky Mountain Lodgepole Pine Forest,10500_16_23_28,19,50,31,NA,NA,152,NA,640,123,81,NA,19,IV-B
10500,Rocky Mountain Lodgepole Pine Forest,10500_18,19,50,31,NA,NA,151,NA,643,122,81,NA,19,IV-B
10500,Rocky Mountain Lodgepole Pine Forest,10500_22,15,40,45,NA,NA,169,NA,NA,169,100,NA,NA,IV-B
10510,Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland,10510_15_16_17_22_23_24_25,23,7,12,57,1,90,77,14,11,12,14,74,I-B
10510,Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland,10510_18_21,23,7,12,57,1,90,77,14,11,12,14,74,I-B
10510,Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland,10510_27,14,8,14,61,3,279,57,33,19,7,34,59,I-C
10510,Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland,10510_28,6,3,27,36,28,325,54,32,19,6,35,59,I-C
10510,Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland,10510_29,22,6,12,59,1,94,77,14,11,11,14,75,I-B
10510,Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland,10510_6,22,7,12,58,1,91,76,14,11,12,14,74,I-B
10520,Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland,10520_12,14,28,29,18,11,186,91,72,33,18,36,46,I-C
10520,Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland,10520_13,12,29,15,33,11,214,191,64,39,18,21,61,III-A
10520,Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland,10520_15,14,28,29,18,11,186,90,72,33,18,37,45,I-C
10520,Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland,10520_16_23_24,16,28,28,17,11,180,89,74,33,19,37,44,I-C
10520,Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland,10520_17,14,28,28,18,12,184,91,72,33,18,36,46,I-C
10520,Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland,10520_18,14,28,29,18,11,186,90,72,33,18,37,45,I-C
10520,Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland,10520_21,14,28,29,18,11,185,90,72,33,18,37,45,I-C
10520,Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland,10520_25,14,28,28,18,12,182,90,73,33,18,37,45,I-C
10520,Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland,10520_27,11,25,29,24,11,253,98,77,37,15,37,48,III-A
10520,Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland,10520_28,8,38,25,14,15,202,144,153,54,27,38,35,III-A
10530,Northern Rocky Mountain Ponderosa Pine Woodland and Savanna,10530_10_19,6,6,20,57,11,354,56,17,13,4,23,73,I-B
10531,Northern Rocky Mountain Ponderosa Pine Woodland and Savanna - Mesic,10531_1_7_8_9,13,9,25,47,6,273,78,19,14,6,18,76,I-B
10532,Northern Rocky Mountain Ponderosa Pine Woodland and Savanna - Xeric,10532_7_9,15,9,27,46,3,258,100,136,47,18,47,35,III-A
10540,Southern Rocky Mountain Ponderosa Pine Woodland,10540_13_14,13,10,18,58,1,254,39,28,15,6,39,55,I-B
10540,Southern Rocky Mountain Ponderosa Pine Woodland,10540_15_25,10,1,13,74,2,396,108,10,9,2,9,89,I-B
10540,Southern Rocky Mountain Ponderosa Pine Woodland,10540_16_23_24,12,5,10,68,5,280,226,20,17,6,8,86,I-C
10540,Southern Rocky Mountain Ponderosa Pine Woodland,10540_17,13,9,18,58,2,257,39,28,15,6,39,55,I-B
10540,Southern Rocky Mountain Ponderosa Pine Woodland,10540_20,9,2,18,67,4,232,77,19,14,6,18,76,I-B
10540,Southern Rocky Mountain Ponderosa Pine Woodland,10540_22,11,8,24,48,9,165,49,19,13,8,26,66,I-B
10540,Southern Rocky Mountain Ponderosa Pine Woodland,10540_26,10,2,5,74,9,76,105,11,9,12,9,79,I-B
10540,Southern Rocky Mountain Ponderosa Pine Woodland,10540_28,10,15,22,35,18,505,159,24,20,4,13,83,I-C
10540,Southern Rocky Mountain Ponderosa Pine Woodland,10540_29,6,19,13,53,9,303,265,20,18,6,7,87,I-C
10540,Southern Rocky Mountain Ponderosa Pine Woodland,10540_33,10,9,23,40,18,511,159,30,24,5,15,80,I-C
10541,Southern Rocky Mountain Ponderosa Pine Woodland - South,10541_27,11,3,10,73,3,346,NA,11,11,3,NA,97,I-B
10542,Southern Rocky Mountain Ponderosa Pine Woodland - North,10542_27,10,9,23,40,18,505,160,31,24,5,15,80,I-C
10550,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,10550_1_8_9,7,17,40,24,12,232,248,NA,120,52,48,NA,III-B
10550,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,10550_10_19,16,44,15,5,20,205,412,NA,137,67,33,NA,IV-B
10550,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,10550_15_28,14,19,18,17,32,199,435,NA,137,69,31,NA,IV-B
10550,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,10550_16_23_24,22,28,14,36,NA,214,7242,NA,208,97,3,NA,V-A
10550,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,10550_17,33,24,7,36,NA,176,16701,NA,174,99,1,NA,IV-B
10550,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,10550_18,32,24,11,33,NA,175,686,NA,139,80,20,NA,IV-B
10550,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,10550_20,13,38,20,29,NA,136,383,NA,100,74,26,NA,III-A
10550,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,10550_21_22,7,33,48,12,NA,333,NA,NA,333,100,NA,NA,V-A
10550,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,10550_27,13,19,18,17,33,201,443,NA,139,69,31,NA,IV-B
10550,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,10550_29,17,34,8,10,31,113,NA,NA,113,100,NA,NA,IV-B
10560,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,10560_1_7_8_9,20,12,38,23,7,120,415,NA,93,78,22,NA,III-A
10560,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,10560_10_19,16,26,20,38,NA,181,NA,NA,181,100,NA,NA,IV-B
10560,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,10560_15_28,13,19,18,17,33,199,435,NA,137,69,31,NA,IV-B
10560,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,10560_16_23,22,28,14,36,NA,217,6998,NA,210,97,3,NA,V-A
10560,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,10560_18,32,24,11,33,NA,176,683,NA,140,80,20,NA,IV-B
10560,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,10560_20,16,30,5,15,34,216,2915,NA,201,93,7,NA,V-A
10560,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,10560_21_22,9,19,7,42,23,432,895,NA,291,67,33,NA,V-A
10560,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,10560_29,8,17,3,25,47,349,1073,NA,263,75,25,NA,V-A
10570,Rocky Mountain Subalpine-Montane Limber-Bristlecone Pine Woodland,10570_12_16,18,21,61,NA,NA,508,NA,199,143,28,NA,72,III-B
10570,Rocky Mountain Subalpine-Montane Limber-Bristlecone Pine Woodland,10570_18,18,21,61,NA,NA,504,NA,198,142,28,NA,72,III-B
10570,Rocky Mountain Subalpine-Montane Limber-Bristlecone Pine Woodland,10570_23,18,21,61,NA,NA,502,NA,200,143,29,NA,71,III-B
10570,Rocky Mountain Subalpine-Montane Limber-Bristlecone Pine Woodland,10570_28,19,35,46,NA,NA,499,202,NA,144,29,71,NA,III-B
10570,Rocky Mountain Subalpine-Montane Limber-Bristlecone Pine Woodland,10570_29,18,28,54,NA,NA,499,NA,999,333,67,NA,33,V-A
10580,Sierra Nevada Subalpine Lodgepole Pine Forest and Woodland,10580_12,6,28,6,5,55,159,51,466,36,23,69,8,III-A
10580,Sierra Nevada Subalpine Lodgepole Pine Forest and Woodland,10580_4,8,10,12,62,8,282,105,146,50,18,48,34,III-A
10580,Sierra Nevada Subalpine Lodgepole Pine Forest and Woodland,10580_7,15,47,38,NA,NA,91,NA,650,80,88,NA,12,IV-A
10581,Sierra Nevada Subalpine Lodgepole Pine Forest and Woodland - Wet,10581_6,6,28,6,5,55,158,51,460,36,23,69,8,III-A
10582,Sierra Nevada Subalpine Lodgepole Pine Forest and Woodland - Dry,10582_6,8,12,16,57,7,244,56,59,26,11,46,43,I-C
10590,Southern Rocky Mountain Pinyon-Juniper Woodland,10590_24_28,10,4,19,67,NA,435,200,1930,128,29,64,7,III-B
10590,Southern Rocky Mountain Pinyon-Juniper Woodland,10590_25,10,18,30,33,9,243,253,107,58,24,23,53,III-A
10590,Southern Rocky Mountain Pinyon-Juniper Woodland,10590_26,23,34,1,42,NA,29,32,35,11,36,33,31,I-B
10590,Southern Rocky Mountain Pinyon-Juniper Woodland,10590_27_33,12,22,44,22,NA,327,406,566,137,42,34,24,III-B
10600,East Cascades Oak-Ponderosa Pine Forest and Woodland,10600_1_2_7,10,7,8,66,9,383,644,31,28,7,4,89,I-C
10610,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland,10610_13,26,51,13,8,2,81,55,NA,33,41,59,NA,I-C
10610,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland,10610_15_25,58,21,6,14,1,43,20,110,12,28,61,11,I-B
10610,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland,10610_18,12,34,27,25,2,76,45,NA,28,37,63,NA,I-C
10610,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland,10610_20_29,9,44,34,13,NA,118,102,NA,54,46,54,NA,III-A
10610,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland,10610_22_27_28,23,43,7,27,NA,78,73,126,29,37,40,23,I-C
10610,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland,10610_6,12,59,26,3,NA,149,224,60,36,24,16,60,III-A
10610,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland,10610_8_9_17,14,38,36,11,1,68,44,NA,27,39,61,NA,I-C
10611,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland - Low Elevation,10611_16_23_24,58,21,6,14,1,43,13,NA,10,24,76,NA,I-B
10612,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland - High Elevation,10612_16_23,13,39,44,4,NA,70,60,NA,32,46,54,NA,I-C
10620,Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland and Shrubland,10620_10_19_21_29_31,8,14,12,21,45,286,151,232,69,24,46,30,III-A
10620,Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland and Shrubland,10620_13,8,14,12,22,44,287,149,232,69,24,46,30,III-A
10620,Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland and Shrubland,10620_16_23,9,14,15,22,40,246,137,228,64,26,46,28,III-A
10620,Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland and Shrubland,10620_22_28,4,19,13,64,NA,229,78,NA,58,25,75,NA,III-A
10620,Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland and Shrubland,10620_6_12_17_18,8,14,12,21,45,288,149,238,69,24,47,29,III-A
10620,Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland and Shrubland,10620_7_9,4,12,14,41,29,243,213,244,77,32,36,32,III-A
10630,North Pacific Broadleaf Landslide Forest and Shrubland,10630_1,22,78,NA,NA,NA,457,915,NA,304,67,33,NA,V-A
10630,North Pacific Broadleaf Landslide Forest and Shrubland,10630_2_7,39,61,NA,NA,NA,100,498,NA,83,83,17,NA,IV-A
10640,Colorado Plateau Mixed Low Sagebrush Shrubland,10640_15_16_17_23_24_27_28,9,70,21,NA,NA,239,119,NA,79,33,67,NA,III-A
10650,Columbia Plateau Scabland Shrubland,10650_1_8_9_10,4,7,89,NA,NA,253,NA,NA,253,100,NA,NA,V-A
10660,Inter-Mountain Basins Mat Saltbush Shrubland,10660_16_23_24,10,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10660,Inter-Mountain Basins Mat Saltbush Shrubland,10660_22,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
