OID_,Value,Count,s_class,lf_bps_nv,BPS_CODE,ZONE,BPS_MODEL,KEYHABCLASS_2022,BPS_NAME
1037,1037,12,2,614,11360,6,11360_6,Alpine and Tundra,Mediterranean California Alpine Dry Tundra
1055,1055,668,2,600,10670,6,10670_6,Alpine and Tundra,Mediterranean California Alpine Fell-Field
1058,1058,14,1,600,10670,6,10670_6,Alpine and Tundra,Mediterranean California Alpine Fell-Field
1065,1065,12,6,600,10670,6,10670_6,Alpine and Tundra,Mediterranean California Alpine Fell-Field
1068,1068,3,132,600,10670,6,10670_6,Alpine and Tundra,Mediterranean California Alpine Fell-Field
1135,1135,1665,112,12,12,NA,NA,Alpine and Tundra,Perennial Ice/Snow
375,375,2786,2,1072,11440,12,11440_12_16_19_28,Alpine and Tundra,Rocky Mountain Alpine Turf
376,376,18,7,1072,11440,12,11440_12_16_19_28,Alpine and Tundra,Rocky Mountain Alpine Turf
463,463,21,132,1072,11440,12,11440_12_16_19_28,Alpine and Tundra,Rocky Mountain Alpine Turf
936,936,5,120,1072,11440,12,11440_12_16_19_28,Alpine and Tundra,Rocky Mountain Alpine Turf
70,70,18485,132,621,10060,9,10060,Alpine and Tundra,Rocky Mountain Alpine/Montane Sparsely Vegetated Systems
252,252,3,180,621,10060,9,10060,Alpine and Tundra,Rocky Mountain Alpine/Montane Sparsely Vegetated Systems
467,467,15988,132,1047,10060,12,10060,Alpine and Tundra,Rocky Mountain Alpine/Montane Sparsely Vegetated Systems
529,529,4908,132,1217,10060,18,10060,Alpine and Tundra,Rocky Mountain Alpine/Montane Sparsely Vegetated Systems
584,584,6,120,1217,10060,18,10060,Alpine and Tundra,Rocky Mountain Alpine/Montane Sparsely Vegetated Systems
608,608,4,180,1217,10060,18,10060,Alpine and Tundra,Rocky Mountain Alpine/Montane Sparsely Vegetated Systems
1012,1012,1801,2,601,10710,6,10710_6,Alpine and Tundra,Sierra Nevada Alpine Dwarf-Shrubland
1046,1046,294,132,601,10710,6,10710_6,Alpine and Tundra,Sierra Nevada Alpine Dwarf-Shrubland
1047,1047,624,6,601,10710,6,10710_6,Alpine and Tundra,Sierra Nevada Alpine Dwarf-Shrubland
1056,1056,185,1,601,10710,6,10710_6,Alpine and Tundra,Sierra Nevada Alpine Dwarf-Shrubland
1272,1272,2052,4,496,10610,13,10610_13,Aspen Woodland,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland
1275,1275,625,1,496,10610,13,10610_13,Aspen Woodland,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland
1326,1326,224,3,496,10610,13,10610_13,Aspen Woodland,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland
1337,1337,278,2,496,10610,13,10610_13,Aspen Woodland,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland
1338,1338,4,7,496,10610,13,10610_13,Aspen Woodland,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland
1420,1420,25,1,1193,10610,15,10610_15_25,Aspen Woodland,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland
1424,1424,10,4,1193,10610,15,10610_15_25,Aspen Woodland,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland
1425,1425,36,132,1193,10610,15,10610_15_25,Aspen Woodland,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland
1431,1431,3,2,1193,10610,15,10610_15_25,Aspen Woodland,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland
348,348,93755,4,1229,10610,18,10610_18,Aspen Woodland,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland
350,350,5865,2,1229,10610,18,10610_18,Aspen Woodland,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland
351,351,104563,1,1229,10610,18,10610_18,Aspen Woodland,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland
531,531,30201,3,1229,10610,18,10610_18,Aspen Woodland,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland
557,557,22,180,1229,10610,18,10610_18,Aspen Woodland,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland
566,566,168,120,1229,10610,18,10610_18,Aspen Woodland,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland
582,582,253,7,1229,10610,18,10610_18,Aspen Woodland,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland
594,594,28,132,1229,10610,18,10610_18,Aspen Woodland,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland
883,883,873,1,598,10610,6,10610_6,Aspen Woodland,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland
887,887,267,7,598,10610,6,10610_6,Aspen Woodland,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland
1011,1011,819,3,598,10610,6,10610_6,Aspen Woodland,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland
1013,1013,754,4,598,10610,6,10610_6,Aspen Woodland,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland
1016,1016,19,2,598,10610,6,10610_6,Aspen Woodland,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland
1042,1042,1,132,598,10610,6,10610_6,Aspen Woodland,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland
1084,1084,594,120,598,10610,6,10610_6,Aspen Woodland,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland
52,52,10829,1,633,10610,9,10610_8_9_17,Aspen Woodland,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland
53,53,5930,4,633,10610,9,10610_8_9_17,Aspen Woodland,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland
66,66,1299,2,633,10610,9,10610_8_9_17,Aspen Woodland,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland
74,74,1913,3,633,10610,9,10610_8_9_17,Aspen Woodland,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland
93,93,103,7,633,10610,9,10610_8_9_17,Aspen Woodland,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland
125,125,119,132,633,10610,9,10610_8_9_17,Aspen Woodland,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland
242,242,1,180,633,10610,9,10610_8_9_17,Aspen Woodland,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland
737,737,12692,2,1087,10610,17,10610_8_9_17,Aspen Woodland,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland
739,739,155253,4,1087,10610,17,10610_8_9_17,Aspen Woodland,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland
741,741,46802,3,1087,10610,17,10610_8_9_17,Aspen Woodland,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland
762,762,151477,1,1087,10610,17,10610_8_9_17,Aspen Woodland,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland
972,972,1701,132,1087,10610,17,10610_8_9_17,Aspen Woodland,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland
1124,1124,1079,7,1087,10610,17,10610_8_9_17,Aspen Woodland,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland
1128,1128,1,180,1087,10610,17,10610_8_9_17,Aspen Woodland,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland
1132,1132,4,5,1087,10610,17,10610_8_9_17,Aspen Woodland,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland
1142,1142,9,120,1087,10610,17,10610_8_9_17,Aspen Woodland,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland
323,323,262,180,1218,10110,18,10110_6_10_12_17_18_19,Aspen Woodland,Rocky Mountain Aspen Forest and Woodland
324,324,3401,7,1218,10110,18,10110_6_10_12_17_18_19,Aspen Woodland,Rocky Mountain Aspen Forest and Woodland
333,333,246075,1,1218,10110,18,10110_6_10_12_17_18_19,Aspen Woodland,Rocky Mountain Aspen Forest and Woodland
347,347,200990,4,1218,10110,18,10110_6_10_12_17_18_19,Aspen Woodland,Rocky Mountain Aspen Forest and Woodland
349,349,15199,2,1218,10110,18,10110_6_10_12_17_18_19,Aspen Woodland,Rocky Mountain Aspen Forest and Woodland
369,369,431174,4,1048,10110,12,10110_6_10_12_17_18_19,Aspen Woodland,Rocky Mountain Aspen Forest and Woodland
371,371,975081,1,1048,10110,12,10110_6_10_12_17_18_19,Aspen Woodland,Rocky Mountain Aspen Forest and Woodland
453,453,44530,7,1048,10110,12,10110_6_10_12_17_18_19,Aspen Woodland,Rocky Mountain Aspen Forest and Woodland
459,459,34533,2,1048,10110,12,10110_6_10_12_17_18_19,Aspen Woodland,Rocky Mountain Aspen Forest and Woodland
